Sentiment Example,Tokens,Filtered Tokens,POS Tags,Named Entities
"""I love the new features of your product! It has greatly improved my productivity.""
","['""', 'I', 'love', 'the', 'new', 'features', 'of', 'your', 'product', '!', 'It', 'has', 'greatly', 'improved', 'my', 'productivity', '.', '""']","['""', 'love', 'new', 'features', 'product', '!', 'greatly', 'improved', 'productivity', '.', '""']","[('""', 'PUNCT'), ('I', 'PRON'), ('love', 'VERB'), ('the', 'DET'), ('new', 'ADJ'), ('features', 'NOUN'), ('of', 'ADP'), ('your', 'PRON'), ('product', 'NOUN'), ('!', 'PUNCT'), ('It', 'PRON'), ('has', 'AUX'), ('greatly', 'ADV'), ('improved', 'VERB'), ('my', 'PRON'), ('productivity', 'NOUN'), ('.', 'PUNCT'), ('""', 'PUNCT')]",[]
"""The customer support was exceptional in New York. They resolved my issue promptly and professionally.""
","['""', 'The', 'customer', 'support', 'was', 'exceptional', 'in', 'New', 'York', '.', 'They', 'resolved', 'my', 'issue', 'promptly', 'and', 'professionally', '.', '""']","['""', 'customer', 'support', 'exceptional', 'New', 'York', '.', 'resolved', 'issue', 'promptly', 'professionally', '.', '""']","[('""', 'PUNCT'), ('The', 'DET'), ('customer', 'NOUN'), ('support', 'NOUN'), ('was', 'AUX'), ('exceptional', 'ADJ'), ('in', 'ADP'), ('New', 'PROPN'), ('York', 'PROPN'), ('.', 'PUNCT'), ('They', 'PRON'), ('resolved', 'VERB'), ('my', 'PRON'), ('issue', 'NOUN'), ('promptly', 'ADV'), ('and', 'CCONJ'), ('professionally', 'ADV'), ('.', 'PUNCT'), ('""', 'PUNCT')]","[('New York', 'GPE')]"
"""The quality of your service exceeded my expectations in Prague. I'm impressed!""
","['""', 'The', 'quality', 'of', 'your', 'service', 'exceeded', 'my', 'expectations', 'in', 'Prague', '.', 'I', ""'m"", 'impressed', '!', '""']","['""', 'quality', 'service', 'exceeded', 'expectations', 'Prague', '.', 'impressed', '!', '""']","[('""', 'PUNCT'), ('The', 'DET'), ('quality', 'NOUN'), ('of', 'ADP'), ('your', 'PRON'), ('service', 'NOUN'), ('exceeded', 'VERB'), ('my', 'PRON'), ('expectations', 'NOUN'), ('in', 'ADP'), ('Prague', 'PROPN'), ('.', 'PUNCT'), ('I', 'PRON'), (""'m"", 'AUX'), ('impressed', 'ADJ'), ('!', 'PUNCT'), ('""', 'PUNCT')]","[('Prague', 'GPE')]"
"""I'm extremely satisfied with my purchase. The product works flawlessly.""
","['""', 'I', ""'m"", 'extremely', 'satisfied', 'with', 'my', 'purchase', '.', 'The', 'product', 'works', 'flawlessly', '.', '""']","['""', 'extremely', 'satisfied', 'purchase', '.', 'product', 'works', 'flawlessly', '.', '""']","[('""', 'PUNCT'), ('I', 'PRON'), (""'m"", 'AUX'), ('extremely', 'ADV'), ('satisfied', 'ADJ'), ('with', 'ADP'), ('my', 'PRON'), ('purchase', 'NOUN'), ('.', 'PUNCT'), ('The', 'DET'), ('product', 'NOUN'), ('works', 'VERB'), ('flawlessly', 'ADV'), ('.', 'PUNCT'), ('""', 'PUNCT')]",[]
"""The user interface is intuitive and easy to navigate. Kudos to your design team!""
","['""', 'The', 'user', 'interface', 'is', 'intuitive', 'and', 'easy', 'to', 'navigate', '.', 'Kudos', 'to', 'your', 'design', 'team', '!', '""']","['""', 'user', 'interface', 'intuitive', 'easy', 'navigate', '.', 'Kudos', 'design', 'team', '!', '""']","[('""', 'PUNCT'), ('The', 'DET'), ('user', 'NOUN'), ('interface', 'NOUN'), ('is', 'AUX'), ('intuitive', 'ADJ'), ('and', 'CCONJ'), ('easy', 'ADJ'), ('to', 'PART'), ('navigate', 'VERB'), ('.', 'PUNCT'), ('Kudos', 'NOUN'), ('to', 'ADP'), ('your', 'PRON'), ('design', 'NOUN'), ('team', 'NOUN'), ('!', 'PUNCT'), ('""', 'PUNCT')]",[]
"""I had a positive experience shopping on your website. The checkout process was smooth.""
","['""', 'I', 'had', 'a', 'positive', 'experience', 'shopping', 'on', 'your', 'website', '.', 'The', 'checkout', 'process', 'was', 'smooth', '.', '""']","['""', 'positive', 'experience', 'shopping', 'website', '.', 'checkout', 'process', 'smooth', '.', '""']","[('""', 'PUNCT'), ('I', 'PRON'), ('had', 'VERB'), ('a', 'DET'), ('positive', 'ADJ'), ('experience', 'NOUN'), ('shopping', 'VERB'), ('on', 'ADP'), ('your', 'PRON'), ('website', 'NOUN'), ('.', 'PUNCT'), ('The', 'DET'), ('checkout', 'NOUN'), ('process', 'NOUN'), ('was', 'AUX'), ('smooth', 'ADJ'), ('.', 'PUNCT'), ('""', 'PUNCT')]",[]
"""Your company values customer feedback, and it shows in the improvements you've made.""
","['""', 'Your', 'company', 'values', 'customer', 'feedback', ',', 'and', 'it', 'shows', 'in', 'the', 'improvements', 'you', ""'ve"", 'made', '.', '""']","['""', 'company', 'values', 'customer', 'feedback', ',', 'shows', 'improvements', '.', '""']","[('""', 'PUNCT'), ('Your', 'PRON'), ('company', 'NOUN'), ('values', 'VERB'), ('customer', 'NOUN'), ('feedback', 'NOUN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('it', 'PRON'), ('shows', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('improvements', 'NOUN'), ('you', 'PRON'), (""'ve"", 'AUX'), ('made', 'VERB'), ('.', 'PUNCT'), ('""', 'PUNCT')]",[]
"""The pricing is fair, and the value I get in return is fantastic.""
","['""', 'The', 'pricing', 'is', 'fair', ',', 'and', 'the', 'value', 'I', 'get', 'in', 'return', 'is', 'fantastic', '.', '""']","['""', 'pricing', 'fair', ',', 'value', 'return', 'fantastic', '.', '""']","[('""', 'PUNCT'), ('The', 'DET'), ('pricing', 'NOUN'), ('is', 'AUX'), ('fair', 'ADJ'), (',', 'PUNCT'), ('and', 'CCONJ'), ('the', 'DET'), ('value', 'NOUN'), ('I', 'PRON'), ('get', 'VERB'), ('in', 'ADP'), ('return', 'NOUN'), ('is', 'AUX'), ('fantastic', 'ADJ'), ('.', 'PUNCT'), ('""', 'PUNCT')]",[]
"""I appreciate the personalized recommendations. It makes shopping more convenient.""
","['""', 'I', 'appreciate', 'the', 'personalized', 'recommendations', '.', 'It', 'makes', 'shopping', 'more', 'convenient', '.', '""']","['""', 'appreciate', 'personalized', 'recommendations', '.', 'makes', 'shopping', 'convenient', '.', '""']","[('""', 'PUNCT'), ('I', 'PRON'), ('appreciate', 'VERB'), ('the', 'DET'), ('personalized', 'ADJ'), ('recommendations', 'NOUN'), ('.', 'PUNCT'), ('It', 'PRON'), ('makes', 'VERB'), ('shopping', 'VERB'), ('more', 'ADV'), ('convenient', 'ADJ'), ('.', 'PUNCT'), ('""', 'PUNCT')]",[]
"""The delivery was prompt, and the packaging was secure. Everything arrived in perfect condition.""","['""', 'The', 'delivery', 'was', 'prompt', ',', 'and', 'the', 'packaging', 'was', 'secure', '.', 'Everything', 'arrived', 'in', 'perfect', 'condition', '.', '""']","['""', 'delivery', 'prompt', ',', 'packaging', 'secure', '.', 'arrived', 'perfect', 'condition', '.', '""']","[('""', 'PUNCT'), ('The', 'DET'), ('delivery', 'NOUN'), ('was', 'AUX'), ('prompt', 'ADJ'), (',', 'PUNCT'), ('and', 'CCONJ'), ('the', 'DET'), ('packaging', 'NOUN'), ('was', 'AUX'), ('secure', 'ADJ'), ('.', 'PUNCT'), ('Everything', 'PRON'), ('arrived', 'VERB'), ('in', 'ADP'), ('perfect', 'ADJ'), ('condition', 'NOUN'), ('.', 'PUNCT'), ('""', 'PUNCT')]",[]
